"Prioriteret 
anvendelse","Præparatnavn 
(lægemiddelnavn)",Dosering og dispenseringsform,author,title,creation date
"Anvend som 1. valg 
til mindst 80 % af 
patienterne*",Hyrimoz (adalimumab),"Induktion: 
80 mg s.c. i uge 0 og 40 mg i uge 
1  
Vedligeholdelse: 
40 mg s.c. hver 2. uge",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
2. valg,Taltz (ixekizumab),"Induktion: 
160 mg s.c. i uge 0, 80 mg i uge 
2, 4, 6, 8, 10 og 12 
Vedligeholdelse: 
80 mg s.c. hver 4. uge",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
3. valg,Cosentyx (secukinumab),"Induktion: 
300 mg s.c. i uge 0, 1, 2, 3 og 4 
Vedligeholdelse: 
300 mg s.c. 1 gang om måneden",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
4. valg,Tremfya (guselkumab),"Induktion: 
100 mg s.c. i uge 0 og 4 
Vedligeholdelse: 
100 mg s.c. hver 8. uge",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
5. valg,Skyrizi (risankizumab),"Induktion: 
150 mg s.c. i uge 0 og 4  
Vedligeholdelse: 
150 mg s.c. hver 12. uge",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
6. valg,Kyntheum (brodalumab),"Induktion:  
210 mg s.c. uge 0, 1 og 2  
Vedligeholdelse:  
210 mg s.c. hver 2. uge",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
7. valg¤,Zessly (infliximab),"Induktion: 
5 mg pr. kg legemsvægt i.v. i 
uge 0, 2 og 6  
Vedligeholdelse: 
5 mg pr. kg legemsvægt i.v. hver 
8. uge",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
8. valg¤,"Cimzia (certolizumab 
pegol)","Induktion: 
400 mg s.c. i uge 0, 2 og 4  
Vedligeholdelse: 
200 mg s.c. hver 2. uge",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
9. valg¤,"Ilumetri Orifarm 
(tildrakizumab)","Induktion: 
100 mg s.c. i uge 0, 4  
Vedligeholdelse: 
100 mg s.c. hver 12. uge. Hos 
patienter med visse 
karakteristika (eksempelvis ved 
svær sygdom eller legemsvægt 
≥ 90 kg) kan 200 mg eventuelt 
give større effekt",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
10. valg¤,Stelara (ustekinumab),"Voksne (< 100 kg).  
Induktion: 
45 mg s.c. i uge 0 og 4  
Vedligeholdelse: 
45 mg s.c. hver 12. uge 
Voksne (> 100 kg).  
Induktion: 
90 mg s.c. i uge 0 og 4  
Vedligeholdelse: 
90 mg s.c. hver 12. uge",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
